Ranking;logo;University;Country;Score
1;www.https://www.topuniversities.com/sites/default/files/massachusetts-institute-of-technology-mit_410_small.jpg;Massachusetts Institute of Technology (MIT) ;North America;100
2;www.https://www.topuniversities.com/sites/default/files/university-of-oxford_478_small.jpg;University of Oxford;Europe;99.5
3;www.https://www.topuniversities.com/sites/default/files/stanford-university_573_small.jpg;Stanford University;North America;98.7
3;www.https://www.topuniversities.com/sites/default/files/university-of-cambridge_95_small.jpg;University of Cambridge;Europe;98.7
5;www.https://www.topuniversities.com/sites/default/files/harvard-university_253_small.jpg;Harvard University;North America;98
6;www.https://www.topuniversities.com/sites/default/files/california-institute-of-technology-caltech_94_small.jpg;California Institute of Technology (Caltech);North America;97.4
7;www.https://www.topuniversities.com/sites/default/files/imperial-college-london_592560cf2aeae70239af4be8_small.jpg;Imperial College London;Europe;97.3
8;www.https://www.topuniversities.com/sites/default/files/eth-zurich-swiss-federal-institute-of-technology_201_small.jpg;ETH Zurich - Swiss Federal Institute of Technology;Europe;95.4
8;www.https://www.topuniversities.com/sites/default/files/ucl_592560cf2aeae70239af4bf1_small.jpg;UCL;Europe;95.4
10;www.https://www.topuniversities.com/sites/default/files/university-of-chicago_120_small.jpg;University of Chicago;North America;94.5
11;www.https://www.topuniversities.com/sites/default/files/national-university-of-singapore-nus_443_small.jpg;National University of Singapore (NUS);Asia;93.9
12;www.https://www.topuniversities.com/sites/default/files/nanyang-technological-university-singapore-ntu_592560cf2aeae70239af4c32_small.jpg;Nanyang Technological University, Singapore (NTU);Asia;90.8
13;www.https://www.topuniversities.com/sites/default/files/university-of-pennsylvania_495_small.jpg;University of Pennsylvania;North America;90.7
14;www.https://www.topuniversities.com/sites/default/files/epfl-ecole-polytechnique-federale-de-lausanne_592560cf2aeae70239af4b34_small.jpg;EPFL;Europe;90.2
14;www.https://www.topuniversities.com/sites/default/files/yale-university_684_small.jpg;Yale University;North America;90.2
16;www.https://www.topuniversities.com/sites/default/files/the-university-of-edinburgh_180_small.jpg;The University of Edinburgh;Europe;89.9
17;www.https://www.topuniversities.com/sites/default/files/tsinghua-university_626_small.jpg;Tsinghua University;Asia;89
18;www.https://www.topuniversities.com/sites/default/files/peking-university_50_small.jpg;Peking University;Asia;88.8
19;www.https://www.topuniversities.com/sites/default/files/columbia-university_138_small.jpg;Columbia University;North America;88.7
20;www.https://www.topuniversities.com/sites/default/files/princeton-university_508_small.jpg;Princeton University;North America;88.6
21;www.https://www.topuniversities.com/sites/default/files/cornell-university_143_small.jpg;Cornell University;North America;88.3
22;www.https://www.topuniversities.com/sites/default/files/the-university-of-hong-kong_268_small.jpg;The University of Hong Kong;Asia;86.3
23;www.https://www.topuniversities.com/sites/default/files/the-university-of-tokyo_615_small.jpg;The University of Tokyo;Asia;86.2
23;www.https://www.topuniversities.com/sites/default/files/university-of-michigan_403_small.jpg;University of Michigan-Ann Arbor;North America;86.2
25;www.https://www.topuniversities.com/sites/default/files/johns-hopkins-university_305_small.jpg;Johns Hopkins University;North America;85.9
26;www.https://www.topuniversities.com/sites/default/files/university-of-toronto_619_small.jpg;University of Toronto;North America;85.3
27;www.https://www.topuniversities.com/sites/default/files/mcgill-university_592560cf2aeae70239af4c10_small.jpg;McGill University;North America;84
27;www.https://www.topuniversities.com/sites/default/files/ANU-crest-48x48.jpg;The Australian National University;Oceania;84
27;www.https://www.topuniversities.com/sites/default/files/the-university-of-manchester_389_small.jpg;The University of Manchester;Europe;84
30;www.https://www.topuniversities.com/sites/default/files/northwestern-university_592560cf2aeae70239af4c50_small.jpg;Northwestern University;North America;82.8
31;www.https://www.topuniversities.com/sites/default/files/fudan-university_218_small.jpg;Fudan University;Asia;82.6
32;www.https://www.topuniversities.com/sites/default/files/university-of-california-berkeley-ucb_84_small.jpg;University of California, Berkeley (UCB);North America;82.5
33;www.https://www.topuniversities.com/sites/default/files/kyoto-university_328_small.jpg;Kyoto University;Asia;82.3
34;www.https://www.topuniversities.com/sites/default/files/the-hong-kong-university-of-science-and-technology_269_small.jpg;The Hong Kong University of Science and Technology;Asia;82.2
35;www.https://www.topuniversities.com/sites/default/files/kings-college-london_357_small.jpg;King's College London;Europe;82
36;www.https://www.topuniversities.com/sites/default/files/graduate-school-of-business-seoul-national-university_553_small.jpg;Seoul National University;Asia;81.7
37;www.https://www.topuniversities.com/sites/default/files/the-university-of-melbourne_399_small.jpg;The University of Melbourne;Oceania;81.4
38;www.https://www.topuniversities.com/sites/default/files/the-university-of-sydney_592560cf2aeae70239af4cd0_small.jpg;The University of Sydney;Oceania;80.4
39;www.https://www.topuniversities.com/sites/default/files/the-chinese-university-of-hong-kong-cuhk_123_small.jpg;The Chinese University of Hong Kong (CUHK);Asia;80.3
40;www.https://www.topuniversities.com/sites/default/files/university-of-california-los-angeles-ucla_87_small.jpg;University of California, Los Angeles (UCLA);North America;79.7
41;www.https://www.topuniversities.com/sites/default/files/kaist-korea-advanced-institute-of-science-technology_324_small.jpg;KAIST - Korea Advanced Institute of Science & Technology;Asia;79.1
42;www.https://www.topuniversities.com/sites/default/files/new-york-university-nyu_448_small.jpg;New York University (NYU);North America;78.9
43;www.https://www.topuniversities.com/sites/default/files/the-university-of-new-south-wales-unsw-sydney_447_small.jpg;The University of New South Wales (UNSW Sydney);Oceania;77.7
44;www.https://www.topuniversities.com/sites/default/files/universit-psl_592560e69988f300e2321dfe_small.jpg;Université PSL;Europe;77.6
45;www.https://www.topuniversities.com/sites/default/files/zhejiang-university_592560cf2aeae70239af4d37_small.jpg;Zhejiang University;Asia;77.4
46;www.https://www.topuniversities.com/sites/default/files/university-of-british-columbia_70_small.jpg;University of British Columbia;North America;77.1
47;www.https://www.topuniversities.com/sites/default/files/the-university-of-queensland_515_small.jpg;The University of Queensland;Oceania;76.6
48;www.https://www.topuniversities.com/sites/default/files/university-of-california-san-diego-ucsd_89_small.jpg;University of California, San Diego (UCSD);North America;76.1
49;www.https://www.topuniversities.com/sites/default/files/institut-polytechnique-de-paris_5f3a6d4210ca6076bc71cae4_small.jpg;Institut Polytechnique de Paris;Europe;75.9
49;www.https://www.topuniversities.com/sites/default/files/london-school-of-economics-and-political-science-lse_362_small.jpg;The London School of Economics and Political Science (LSE);Europe;75.8
50;www.https://www.topuniversities.com/sites/default/files/shanghai-jiao-tong-university_556_small.jpg;Shanghai Jiao Tong University;Asia;75.6
50;www.https://www.topuniversities.com/sites/default/files/technical-university-of-munich_599_small.jpg;Technical University of Munich;Europe;75.6
52;www.https://www.topuniversities.com/sites/default/files/duke-university_168_small.jpg;Duke University;North America;75.2
53;www.https://www.topuniversities.com/sites/default/files/carnegie-mellon-university_101_small.jpg;Carnegie Mellon University;North America;74.6
53;www.https://www.topuniversities.com/sites/default/files/city-university-of-hong-kong_592560cf2aeae70239af4b05_small.jpg;City University of Hong Kong;Asia;74.6
55;www.https://www.topuniversities.com/sites/default/files/university-of-amsterdam_18_small.jpg;University of Amsterdam;Europe;73.8
56;www.https://www.topuniversities.com/sites/default/files/tokyo-institute-of-technology_592560cf2aeae70239af4ceb_small.jpg;Tokyo Institute of Technology (Tokyo Tech);Asia;73.5
57;www.https://www.topuniversities.com/sites/default/files/delft-university-of-technology_155_small.jpg;Delft University of Technology;Europe;73.1
58;www.https://www.topuniversities.com/sites/default/files/monash-university_412_small.jpg;Monash University;Oceania;72.2
60;www.https://www.topuniversities.com/sites/default/files/brown-university_72_small.jpg;Brown University;North America;71.3
61;www.https://www.topuniversities.com/sites/default/files/the-university-of-warwick_664_small.jpg;The University of Warwick;Europe;71.2
62;www.https://www.topuniversities.com/sites/default/files/university-of-bristol_69_small.jpg;University of Bristol;Europe;71
63;www.https://www.topuniversities.com/sites/default/files/ruprecht-karls-universitaet-heidelberg_259_small.jpg;Ruprecht-Karls-Universität Heidelberg;Europe;70.8
64;www.https://www.topuniversities.com/sites/default/files/ludwig-maximilians-universitt-mnchen_420_small.jpg;Ludwig-Maximilians-Universität München;Europe;70.1
65;www.https://www.topuniversities.com/sites/default/files/universiti-malaya-um_383_small.jpg;Universiti Malaya (UM);Asia;69.8
66;www.https://www.topuniversities.com/sites/default/files/the-hong-kong-polytechnic-university_267_small.jpg;The Hong Kong Polytechnic University;Asia;69.1
67;www.https://www.topuniversities.com/sites/default/files/university-of-texas-at-austin_604_small.jpg;University of Texas at Austin;North America;68.4
68;www.https://www.topuniversities.com/sites/default/files/national-taiwan-university-ntu_592560cf2aeae70239af4c3c_small.jpg;National Taiwan University (NTU);Asia;68.2
69;www.https://www.topuniversities.com/sites/default/files/universidad-de-buenos-aires-uba_78_small.jpg;Universidad de Buenos Aires (UBA);Latin America;67.9
70;www.https://www.topuniversities.com/sites/default/files/ku-leuven_592560cf2aeae70239af4aec_small.jpg;KU Leuven;Europe;67.2
70;www.https://www.topuniversities.com/sites/default/files/university-of-zurich_693_small.jpg;University of Zurich;Europe;67.2
72;www.https://www.topuniversities.com/sites/default/files/sorbonne-university_5a6afcfecb4de709397114fe_small.jpg;Sorbonne University;Europe;67.1
73;www.https://www.topuniversities.com/sites/default/files/university-of-glasgow_592560cf2aeae70239af4b6c_small.jpg;University of Glasgow;Europe;66.8
74;www.https://www.topuniversities.com/sites/default/files/korea-university_325_small.jpg;Korea University;Asia;66.3
75;www.https://www.topuniversities.com/sites/default/files/osaka-university_472_small.jpg;Osaka University;Asia;66.2
75;www.https://www.topuniversities.com/sites/default/files/university-of-wisconsin-madison_678_small.jpg;University of Wisconsin-Madison;North America;66.2
77;www.https://www.topuniversities.com/sites/default/files/university-of-southampton_567_small.jpg;University of Southampton;Europe;65.7
78;www.https://www.topuniversities.com/sites/default/files/lomonosov-moscow-state-university-_592560cf2aeae70239af4c27_small.jpg;Lomonosov Moscow State University;Europe;65.6
79;www.https://www.topuniversities.com/sites/default/files/university-of-copenhagen_141_small.jpg;University of Copenhagen;Europe;65.5
79;www.https://www.topuniversities.com/sites/default/files/yonsei-university_688_small.jpg;Yonsei University;Asia;65.5
81;www.https://www.topuniversities.com/sites/default/files/pohang-university-of-science-and-technology-postech_592560cf2aeae70239af4c7b_small.jpg;Pohang University of Science And Technology (POSTECH);Asia;65.4
82;www.https://www.topuniversities.com/sites/default/files/durham-university_170_small.jpg;Durham University;Europe;65.2
82;www.https://www.topuniversities.com/sites/default/files/tohoku-university_611_small.jpg;Tohoku University;Asia;65.2
82;www.https://www.topuniversities.com/sites/default/files/university-of-illinois-at-urbana-champaign_2090_small.jpg;University of Illinois at Urbana-Champaign;North America;65.2
85;www.https://www.topuniversities.com/sites/default/files/the-university-of-auckland_592560cf2aeae70239af4aa8_small.jpg;The University of Auckland;Oceania;65
85;www.https://www.topuniversities.com/sites/default/files/university-of-washington_592560cf2aeae70239af4d1e_small.jpg;University of Washington;North America;65
86;www.https://www.topuniversities.com/sites/default/files/universit-paris-saclay_592560cf2aeae70239af4c6e_small.jpg;Université Paris-Saclay;Europe;64.9
87;www.https://www.topuniversities.com/sites/default/files/lund-university_371_small.jpg;Lund University;Europe;63.8
88;www.https://www.topuniversities.com/sites/default/files/georgia-institute-of-technology_225_small.jpg;Georgia Institute of Technology;North America;63.5
89;www.https://www.topuniversities.com/sites/default/files/kth-royal-institute-of-technology-_592560cf2aeae70239af4c9b_small.jpg;KTH Royal Institute of Technology ;Europe;63.2
90;www.https://www.topuniversities.com/sites/default/files/university-of-birmingham_59_small.jpg;University of Birmingham;Europe;62.9
91;www.https://www.topuniversities.com/sites/default/files/university-of-st-andrews_570_small.jpg;University of St Andrews;Europe;62.8
92;www.https://www.topuniversities.com/sites/default/files/University-of-Leeds-2-1-48x48.jpg;University of Leeds;Europe;62.6
